# in_testing: False
# method: euler
# panel: Control
# simulation_clock: 0.05000000000000000278
# C: 0.00050000000000000001
# E_leak: -70
# theta: -50
# v_reset: -55
# g_L: 0.00000002500000000000
# g_ampa: 0.00000000005000000000
# g_gaba: 0.00000000004000000000
# g_nmda: 0.00000000090000000000
# tau_ampa_ms: 2
# tau_gaba_ms: 5
# tau_nmda_rise: 2
# tau_nmda_decay: 100
# up_state: {'N': 0, 'nu': 0, 'N_nmda': 1, 'nu_nmda': 1}
# down_state: {'N_E': 100, 'gamma': 4, 'nu': 10, 'N_nmda': 10, 'nu_nmda': 2}
# smoothened_rate_width: 10
# pannel: scan_nu_nmda
N,v_steady,g_nmda_steady,x_nmda_steady,s_nmda_steady,v_mean,v_var,g_nmda_mean,g_nmda_var,x_nmda_mean,x_nmda_var,s_nmda_mean,s_nmda_var,corr_coef_x_s,i_nmda_mean,i_nmda_var,mean_rate,num_spikes,mean_isi,std_isi,cv_isi
49,-69.90653631102550491505,0.03342451718729133603,0.09799999999999972622,0.83050847457625209813,-69.89752691077887902793,0.01232460712830829412,0.02792749477412440409,0.00007027342373612275,0.09262778113249034440,0.05417887421502114165,0.69408143359614371537,0.04328681147189064604,0.26308796333114398136,-0.00195242170760838722,0.00000034322975914635,0.00000000000000000000,0,,,
50,-69.90621706234387033874,0.03353884017756956354,0.09999999999999972800,0.83333333333331449655,-69.89085551905654369875,0.01471733994670797532,0.03006500746453133824,0.00004428659287444719,0.10107768244208109598,0.05038214297324056928,0.74635447878948246725,0.02738699763874869950,0.27840284133826342927,-0.00210126552230544342,0.00000021647413459137,0.00000000000000000000,0,,,
51,-69.90590827210526470026,0.03364941899161773969,0.10199999999999972977,0.83606557377047330260,-69.89131166928564198315,0.01637394662588965294,0.02965407427656798628,0.00005256542698521660,0.10001204821885094354,0.05207344896649968718,0.73578289719540945768,0.03191047075332061750,0.28926423506181786482,-0.00207228750450590181,0.00000025575231302573,0.00000000000000000000,0,,,
52,-69.90560943467096421955,0.03375643460344571883,0.10399999999999973155,0.83870967741933666328,-69.88602500412213203163,0.01535391781018251994,0.03159781830589789009,0.00002453595107239485,0.10943061656136524040,0.05390161405847098547,0.78398408703380428886,0.01485602659366819754,0.27925854312451270367,-0.00220810520615370275,0.00000011928162563208,0.00000000000000000000,0,,,
53,-69.90532007648036483261,0.03386005650886887014,0.10599999999999973332,0.84126984126982340406,-69.88843469607851943692,0.01554251439501814526,0.03070969958748831150,0.00003209963111029975,0.09905577951522563651,0.04655841818009455457,0.76198301178016192292,0.01943071080183632338,0.27694185243567936983,-0.00214606432262652320,0.00000015605383106374,0.00000000000000000000,0,,,
54,-69.90503975354695853639,0.03396044362130357097,0.10799999999999973510,0.84374999999998234745,-69.88896666356734499459,0.01173172423487140598,0.03119667515808985034,0.00005991615946911008,0.12420344125344232045,0.05866629961637825214,0.77508570164427359472,0.03692016236519345129,0.22831046481090835898,-0.00218080569040868385,0.00000029266849684555,0.00000000000000000000,0,,,
55,-69.90476804918507980346,0.03405774508495894998,0.10999999999999972300,0.84615384615382882583,-69.88433586194804547631,0.01419753435217398045,0.03239999699842754238,0.00001419293646275016,0.11600388928361436702,0.05550928511020320616,0.80409162278861590067,0.00889193638876287218,0.28064659723773455191,-0.00226430531718270749,0.00000006957102297898,0.00000000000000000000,0,,,
56,-69.90450457194329203503,0.03415210101417735095,0.11199999999999972478,0.84848484848483141096,-69.88543725904726500175,0.01540662951160844812,0.03175097810180567415,0.00002061818272767609,0.11394473119166212416,0.06145758198846049125,0.78788211792950424428,0.01262071494753854058,0.30385015521374603154,-0.00221887493122333241,0.00000010048726837513,0.00000000000000000000,0,,,
57,-69.90424895372267144467,0.03424364316663118524,0.11399999999999972655,0.85074626865669955578,-69.88171610552856805043,0.01426650764790310041,0.03343480375255312304,0.00001630957272321357,0.13972190098592376928,0.06175452832660673769,0.82946960654523715917,0.00994831856571409996,0.27637578359973652420,-0.00233641599117470188,0.00000007941900738601,0.00000000000000000000,0,,,
58,-69.90400084806097424917,0.03433249555717866192,0.11599999999999972833,0.85294117647057166032,-69.88500549754701296479,0.01544903430376465790,0.03190617080483572343,0.00001634270756767768,0.09708091282533651278,0.04339531196870235336,0.79165528162591480843,0.00989508010629699779,0.22524172864317068554,-0.00222966713318083903,0.00000007942542693964,0.00000000000000000000,0,,,
59,-69.90375992856593256874,0.03441877501839253617,0.11799999999999973010,0.85507246376809964428,-69.88633218060296314889,0.01344896975160373917,0.03199937047936193824,0.00003541877614838178,0.13266478435053000173,0.06706151390111117494,0.79421365727027393167,0.02193691835038154986,0.28536381547279410231,-0.00223635395163173734,0.00000017320614995906,0.00000000000000000000,0,,,
60,-69.90352588748272921748,0.03450259171308944078,0.11999999999999973188,0.85714285714284110806,-69.88662918618548758332,0.01535538001220236592,0.03148236786274452581,0.00003042579780599881,0.11580184914287539044,0.05981972044887585299,0.78110926993188267708,0.01844286941153690240,0.29222697474105102655,-0.00220003002295289908,0.00000014796680059939,0.00000000000000000000,0,,,
61,-69.90329843438240686737,0.03458404960358800462,0.12199999999999973366,0.85915492957744898916,-69.88823025964335045046,0.01450622497527041116,0.03087283933811628758,0.00003706691903623622,0.11368420775773589726,0.06103815173127367932,0.76651843740589020726,0.02313613072237443932,0.29202771717005282515,-0.00215780286481793331,0.00000018160825561463,0.00000000000000000000,0,,,
62,-69.90307729495958710686,0.03466324688189804243,0.12399999999999973543,0.86111111111109550631,-69.88292306247387841722,0.01341356978717692106,0.03315703829737471492,0.00002262717087017147,0.14744475992413724752,0.07645129491707010339,0.82269808332776239723,0.01393739136769611177,0.28942352662694803556,-0.00231708933115182909,0.00000011047950602347,0.00000000000000000000,0,,,
63,-69.90286220992882704195,0.03474027636458469626,0.12599999999999944578,0.86301369863012133976,-69.88006677520860421282,0.01551766088206544755,0.03365492186212894893,0.00001280173634683812,0.14759631412964388519,0.07606878037332430453,0.83480696144784050095,0.00768439468924794582,0.32030065410379299218,-0.00235171087719441294,0.00000006206319848714,0.00000000000000000000,0,,,
64,-69.90265293401051849287,0.03481522585564517797,0.12799999999999944755,0.86486486486484936975,-69.88324363224897695090,0.01521453083959143325,0.03256051190883325203,0.00002509424335947468,0.13264467469951338185,0.07124625432931139257,0.80773614100192625553,0.01518463492503219388,0.28725331282396415755,-0.00227528893228152529,0.00000012197560740817,0.00000000000000000000,0,,,
65,-69.90244923499771800834,0.03488817848038139324,0.12999999999999944933,0.86666666666665148622,-69.88154007803680656252,0.01521773769614298034,0.03323888576399160882,0.00002254642150725748,0.14578082387806301501,0.07189889465662867296,0.82457851683888616634,0.01375887516987566069,0.29064110780649449195,-0.00232270256375715451,0.00000010980801736756,0.00000000000000000000,0,,,
66,-69.90225089289675963755,0.03495921299293752033,0.13199999999999945111,0.86842105263156388339,-69.88272918573538561304,0.01511662800135519028,0.03286203443109913386,0.00001770948074609599,0.13284326148525107958,0.06720040813171432315,0.81529155544375264686,0.01076517475440646500,0.28973355492069846617,-0.00229641063262899176,0.00000008615635618197,0.00000000000000000000,0,,,
67,-69.90205769913464450838,0.03502840405989442185,0.13399999999999945288,0.87012987012985532065,-69.88194525753483787867,0.01567916128511235435,0.03298160115880571092,0.00002204659740901242,0.14304573790333680039,0.06881982752611995324,0.81818488725180094079,0.01338973225191637459,0.30855990531779320385,-0.00230471650070842530,0.00000010725622462256,0.00000000000000000000,0,,,
68,-69.90186945582748023753,0.03509582252206772113,0.13599999999999945466,0.87179487179485715131,-69.88346698118932920352,0.01425161135664489154,0.03281484572580983111,0.00001324859284986264,0.12140582643243952310,0.05538673995340227113,0.81420288788833528049,0.00809777391320416588,0.27059570875540145396,-0.00229317124498893288,0.00000006454273376816,0.00000000000000000000,0,,,
